,application_received,application_year,council_district,address,city,zip,units_withdrawn,replacement_unit,yearbuilt,units,sqftmain,center_lat,center_lon,geometry
2040031029,11/6/19,2019,3,22729 W DEL VALLE ST,LOS ANGELES ,91364.0,3,0.0,1955.0,3.0,1860.0,34.16587989,-118.62131891,POINT (-13204864.81828771 4051097.450097568)
2040031030,12/4/19,2019,3,22727 W DEL VALLE ST,WOODLAND HILLS ,91364.0,3,0.0,1955.0,3.0,1869.0,34.16592862,-118.62116436,POINT (-13204847.61386041 4051104.006178072)
2040033033,2/10/16,2016,3,22431 W DEL VALLE ST,WOODLAND HILLS ,91364.0,3,0.0,1955.0,3.0,1869.0,34.16738928,-118.61652521,POINT (-13204331.1860447 4051300.523521864)
2107014004,4/21/20,2020,3,20327 W STAGG ST,LOS ANGELES ,91306.0,3,0.0,1910.0,3.0,2446.0,34.21138869,-118.57635049,POINT (-13199858.95667153 4057221.803746735)
2111025021,3/16/16,2016,3,7118 N JORDAN AVE,CANOGA PARK ,91303.0,2,9.0,1947.0,2.0,1489.0,34.19976008,-118.60250536,POINT (-13202770.5034817 4055656.567431433)
2112024012,8/13/15,2015,3,7310 N ETON AVE,LOS ANGELES ,91303.0,2,0.0,1961.0,2.0,1500.0,34.20328039,-118.59512137,POINT (-13201948.52147488 4056130.386059903)
2121005006,8/11/15,2015,3,7325 N ENFIELD AVE,LOS ANGELES ,91335.0,1,0.0,1948.0,2.0,2800.0,34.20368352,-118.52459288,POINT (-13194097.32588166 4056184.646891655)
2126006014,2/13/15,2015,3,18561 W GAULT ST,LOS ANGELES ,91335.0,2,33.0,1940.0,2.0,1248.0,34.19944555,-118.53822729,POINT (-13195615.10146012 4055614.234005189)
2126023007,8/15/13,2013,3,6819 N BAIRD AVE,RESEDA ,91335.0,2,7.0,1947.0,2.0,1366.0,34.19444264,-118.53768989,POINT (-13195555.27836577 4054940.900322558)
2129035010,9/28/16,2016,3,18917 W GAULT ST,RESEDA ,91335.0,3,0.0,1953.0,3.0,2933.0,34.19976533,-118.54554709,POINT (-13196429.93786883 4055657.274044189)
2138013009,6/19/18,2018,3,7018 N ALABAMA AVE,LOS ANGELES ,91303.0,1,0.0,1930.0,3.0,3200.0,34.19795218,-118.59866313,POINT (-13202342.78839459 4055413.23953426)
2153025014,9/1/20,2020,3,5649 N MELVIN AVE,LOS ANGELES ,91356.0,2,0.0,1925.0,2.0,3384.0,34.17426201,-118.56061526,POINT (-13198107.31888042 4052225.226956724)
2153027017,1/26/17,2017,3,5836 N MELVIN AVE,LOS ANGELES ,91356.0,2,0.0,1926.0,2.0,1830.0,34.17698937,-118.55942827,POINT (-13197975.18375804 4052592.20523264)
2160004003,10/4/16,2016,3,18525 W CLARK ST,LOS ANGELES ,91356.0,1,0.0,1934.0,0.0,2104.0,34.17069824,-118.53678631,POINT (-13195454.69230028 4051745.72391219)
2182008020,7/19/07,2007,5,5114 N ENFIELD AVE,ENCINO ,91316.0,2,0.0,1945.0,2.0,1366.0,34.16287862,-118.52368373,POINT (-13193996.1197666 4050693.669833098)
2203017041,7/19/07,2007,6,7450 N LOUISE AVE,VAN NUYS ,91406.0,1,0.0,1934.0,3.0,2385.0,34.20634357,-118.50931488,POINT (-13192396.58670132 4056542.693050626)
2206035020,5/1/19,2019,6,16008 W CANTLAY ST,VAN NUYS ,91406.0,2,0.0,1950.0,2.0,1609.0,34.2019198,-118.48182498,POINT (-13189336.42503136 4055947.254135296)
2210020017,6/26/18,2018,6,14721 W BLYTHE ST,VAN NUYS ,91402.0,4,0.0,1953.0,4.0,2970.0,34.21546862,-118.45377963,POINT (-13186214.43095024 4057771.022419932)
2210020018,6/26/18,2018,6,14715 W BLYTHE ST,VAN NUYS ,91402.0,4,0.0,1953.0,4.0,2970.0,34.21546953,-118.45361766,POINT (-13186196.40053232 4057771.144922302)
2212010003,12/11/18,2018,6,14246 W ROSCOE ,VAN NUYS ,91402.0,2,0.0,1950.0,2.0,1827.0,34.22127232,-118.44407621,POINT (-13185134.25117689 4058552.331748951)
2214026021,7/15/14,2014,6,7941 N VENTURA CANYON AVE,Los Angeles ,91402.0,2,34.0,1938.0,3.0,3206.0,34.21508236,-118.42900319,POINT (-13183456.33026577 4057719.024994901)
2216013038,6/23/17,2017,2,6830 N HAZELTINE AVE,VAN NUYS ,91405.0,3,0.0,1926.0,3.0,1815.0,34.1949006,-118.4396313,POINT (-13184639.44605906 4055002.534767886)
2216017011,3/12/19,2019,2,13921 W VANOWEN ST,LOS ANGELES ,91405.0,4,0.0,1948.0,4.0,3081.0,34.19445151,-118.4364382,POINT (-13184283.99179301 4054942.094086367)
2217007037,4/15/15,2015,6,14429 W VOSE ST,VAN NUYS ,91405.0,2,0.0,1957.0,4.0,10884.0,34.19905887,-118.44775798,POINT (-13185544.10393851 4055562.189935665)
2217011064,3/19/15,2015,6,6854 N TYRONE AVE,VAN NUYS ,91405.0,2,0.0,1924.0,1.0,896.0,34.1954707,-118.44395723,POINT (-13185121.00638387 4055079.262018037)
2217014010,7/23/19,2019,6,6853 N HAZELTINE AVE,VAN NUYS ,91405.0,4,0.0,1945.0,4.0,3868.0,34.19549659,-118.44060269,POINT (-13184747.58069923 4055082.746451518)
2219023005,10/6/15,2015,6,6835 N VESPER AVE,VAN NUYS ,91405.0,1,0.0,1937.0,1.0,1158.0,34.19494209,-118.45124311,POINT (-13185932.06683546 4055008.118706898)
2219026021,8/9/13,2013,6,6906 N VESPER AVE,VAN NUYS ,91405.0,2,49.0,1947.0,2.0,1466.0,34.19594557,-118.45054938,POINT (-13185854.8411651 4055143.173077577)
